location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Schildergasse (West), Köln;2018-05-09 02:00:00 +0200;Wednesday;54;15;clear-night;
Schildergasse (West), Köln;2018-05-09 03:00:00 +0200;Wednesday;36;14;clear-night;
Schildergasse (West), Köln;2018-05-09 04:00:00 +0200;Wednesday;26;13;clear-night;
Schildergasse (West), Köln;2018-05-09 05:00:00 +0200;Wednesday;79;13;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-09 06:00:00 +0200;Wednesday;314;12;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 07:00:00 +0200;Wednesday;555;13;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 08:00:00 +0200;Wednesday;1591;15;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 09:00:00 +0200;Wednesday;1983;18;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 10:00:00 +0200;Wednesday;3604;21;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 11:00:00 +0200;Wednesday;4915;23;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 12:00:00 +0200;Wednesday;5968;25;clear-day;
Schildergasse (West), Köln;2018-05-09 13:00:00 +0200;Wednesday;6396;26;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 14:00:00 +0200;Wednesday;6266;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 15:00:00 +0200;Wednesday;6363;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 16:00:00 +0200;Wednesday;6486;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 17:00:00 +0200;Wednesday;7012;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 18:00:00 +0200;Wednesday;7082;28;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 19:00:00 +0200;Wednesday;5537;26;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 20:00:00 +0200;Wednesday;2697;25;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 21:00:00 +0200;Wednesday;1070;23;partly-cloudy-day;
Schildergasse (West), Köln;2018-05-09 22:00:00 +0200;Wednesday;768;22;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-09 23:00:00 +0200;Wednesday;483;20;clear-night;
Schildergasse (West), Köln;2018-05-10 00:00:00 +0200;Thursday;379;20;clear-night;
Schildergasse (West), Köln;2018-05-10 01:00:00 +0200;Thursday;177;18;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-10 02:00:00 +0200;Thursday;119;17;partly-cloudy-night;
Schildergasse (West), Köln;2018-05-10 03:00:00 +0200;Thursday;77;16;clear-night;
Schildergasse (West), Köln;2018-05-10 04:00:00 +0200;Thursday;60;16;clear-night;
